################################################
##                   SPRank                   ##
################################################
in_rec:          1AM0-A-41-AMP/amber/rec.amber.mol2
in_cpd:          1AM0-A-41-AMP/amber/lig_charged.amber.mol2
in_poses:        1AM0-A-41-AMP/pose/pose.mol2
stats:           0
verbose:         0
Load receptor: default_name from 1AM0-A-41-AMP/amber/rec.amber.mol2
--> heavy atom num: 344
Load compound: MOL from 1AM0-A-41-AMP/amber/lig_charged.amber.mol2
--> heavy atom num: 23
************************************************
*                PARAMETER INFO                *
************************************************
T: 25
rt_to_kcal_per_mol: 0.593
gamma_SASA: 0.0054
r_water: 1.4
pairwise_dis_upper_bound: 10
pairwise_bin_size: 0.5
pairwise_bin_num: 20
pairwise_potentials_map.size(): 348
sasa_points.size(): 8
************************************************
*                   REC INFO                   *
************************************************
name: default_name
rdock_06_14 -504.782 -2.486 -41.939 -11.046
rdock_06_15 -280.955 -2.135 2.979 -10.698
rdock_06_17 -558.026 -2.543 -58.084 -11.297
rdock_06_20 -525.836 -2.632 -44.721 -11.354
rdock_06_21 -570.396 -2.752 -61.542 -11.990
rdock_06_22 -580.245 -2.576 -68.009 -11.726
rdock_06_23 -550.199 -2.624 -56.218 -11.465
rdock_06_26 -565.265 -2.616 -60.280 -11.446
rdock_06_27 -568.051 -2.387 -61.916 -11.504
rdock_06_29 -591.593 -2.596 -60.657 -11.834
rdock_06_32 -509.082 -2.580 -59.159 -11.144
rdock_06_34 -478.294 -2.804 -48.349 -11.446
rdock_06_35 -339.714 -2.048 -21.864 -10.755
rdock_06_38 -177.430 -2.355 -3.256 -10.586
rdock_06_40 -289.252 -1.923 -13.790 -10.360
rdock_06_41 -478.699 -2.708 -55.612 -11.422
rdock_06_43 -613.099 -2.435 -56.886 -11.807
rdock_06_48 -551.464 -2.430 -64.364 -11.268
rdock_06_50 -510.983 -2.771 -55.313 -11.590
rdock_06_51 -566.967 -2.249 -62.347 -11.369
rdock_06_53 -545.609 -2.714 -62.273 -11.583
rdock_06_54 -549.175 -2.738 -62.124 -11.691
rdock_06_56 -356.181 -2.563 -19.616 -11.095
rdock_06_57 -337.415 -2.413 -11.848 -10.479
rdock_06_65 -545.787 -2.379 -59.223 -11.133
rdock_06_67 -572.127 -2.798 -49.737 -12.013
rdock_06_69 -557.574 -2.256 -60.431 -11.202
rdock_06_70 -331.131 -2.545 -11.075 -10.509
rdock_06_75 -568.358 -2.419 -62.793 -11.565
rdock_06_76 -149.329 -1.600 -1.084 -10.458
rdock_06_79 -562.210 -2.688 -58.156 -11.724
rdock_06_80 -571.529 -2.448 -59.605 -11.488
rdock_06_83 -493.666 -2.776 -55.023 -11.458
rdock_06_86 -286.922 -2.578 -2.303 -10.653
rdock_06_88 -542.272 -2.431 -62.183 -11.159
rdock_06_90 -443.995 -2.281 -35.762 -11.007
rdock_06_91 -558.901 -2.366 -51.231 -11.340
rdock_06_94 -605.704 -2.517 -62.159 -11.808
rdock_06_99 -398.352 -2.420 -37.639 -11.045
rdock_06_100 -152.807 -2.104 -1.595 -10.691
rdock_06_102 -524.526 -2.729 -59.642 -11.557
rdock_06_103 -501.284 -2.521 -53.659 -11.101
rdock_06_104 -596.836 -2.738 -59.060 -12.101
rdock_06_108 -590.418 -2.440 -63.586 -11.700
rdock_06_109 -586.211 -2.648 -60.073 -11.811
rdock_06_110 -547.728 -2.752 -67.394 -11.626
rdock_06_112 -531.571 -2.507 -60.739 -11.193
rdock_06_114 -595.423 -2.477 -55.731 -11.769
rdock_06_115 -564.695 -2.471 -57.297 -11.338
rdock_06_116 -582.398 -2.745 -65.540 -12.124
rdock_06_118 -571.051 -2.525 -63.951 -11.585
rdock_06_119 -562.753 -2.634 -55.693 -11.558
rdock_06_122 -519.530 -2.936 -44.388 -11.539
rdock_06_123 -487.736 -2.856 -49.650 -11.446
rdock_06_126 -572.607 -2.602 -62.937 -11.710
rdock_06_127 -580.183 -2.366 -61.473 -11.725
rdock_06_129 -525.482 -2.504 -48.858 -11.254
rdock_06_131 -529.154 -2.856 -46.552 -11.659
rdock_06_133 -362.984 -2.281 -24.765 -10.987
rdock_06_135 -205.855 -1.956 -0.458 -10.419
rdock_06_138 -373.110 -2.593 -21.749 -11.214
rdock_06_139 -302.487 -2.550 -19.314 -10.745
rdock_06_140 -291.737 -2.360 -2.234 -10.594
rdock_06_142 -553.312 -2.440 -59.101 -11.243
rdock_06_143 -474.677 -2.329 -42.925 -10.999
rdock_06_144 -263.634 -2.669 -1.188 -10.861
rdock_06_145 -570.219 -2.744 -59.109 -11.947
rdock_06_146 -589.237 -2.750 -60.972 -12.114
rdock_06_149 -536.308 -2.932 -44.979 -11.575
rdock_07_2 -560.501 -2.807 -64.578 -11.728
rdock_07_3 -601.217 -2.752 -57.434 -12.101
rdock_07_5 -225.470 -2.392 -3.620 -10.530
rdock_07_6 -557.603 -2.797 -52.102 -11.804
rdock_07_7 -577.331 -2.480 -57.851 -11.511
rdock_07_8 -419.966 -2.465 -34.972 -11.046
rdock_07_10 -516.359 -2.512 -59.151 -11.151
rdock_07_14 -360.446 -2.459 -13.246 -10.775
rdock_07_16 -229.159 -2.609 -16.638 -10.863
rdock_07_17 -568.004 -2.333 -56.509 -11.587
rdock_07_18 -580.964 -2.532 -67.005 -11.718
rdock_07_19 -559.777 -2.491 -57.916 -11.266
rdock_07_21 -557.985 -2.650 -54.917 -11.594
rdock_07_22 -244.136 -2.634 0.260 -10.687
rdock_07_23 -581.134 -2.832 -56.329 -12.159
rdock_07_24 -551.743 -2.446 -58.041 -11.243
rdock_07_25 -439.527 -2.685 -42.137 -11.224
rdock_07_26 -489.230 -2.476 -48.632 -11.010
rdock_07_27 -413.871 -2.260 -38.745 -10.974
rdock_07_28 -590.937 -2.606 -62.954 -11.854
rdock_07_30 -566.454 -2.561 -57.408 -11.501
rdock_07_32 -523.946 -2.501 -49.918 -11.254
rdock_07_35 -596.384 -2.506 -65.860 -11.764
rdock_07_36 -561.012 -2.456 -61.727 -11.325
rdock_07_38 -331.906 -2.596 -25.627 -10.948
rdock_07_39 -540.206 -2.728 -60.041 -11.539
rdock_07_42 -559.998 -2.693 -72.979 -11.685
rdock_07_43 -295.024 -2.451 -14.155 -10.510
rdock_07_44 -562.160 -2.946 -62.373 -11.727
rdock_07_46 -447.828 -2.549 -42.426 -11.010
rdock_07_48 -235.537 -2.639 0.087 -10.687
rdock_07_49 -221.398 -2.792 2.396 -11.012
rdock_07_50 -534.034 -2.513 -63.568 -11.213
rdock_07_52 -511.662 -2.724 -46.194 -11.543
rdock_07_54 -473.493 -2.760 -36.210 -11.535
rdock_07_56 -563.945 -2.470 -57.340 -11.338
rdock_07_58 -570.114 -2.708 -60.362 -11.912
rdock_07_59 -529.471 -2.788 -62.143 -11.618
rdock_07_60 -297.644 -2.591 -16.055 -10.871
rdock_07_62 -578.260 -2.750 -60.587 -11.994
rdock_07_63 -499.960 -2.361 -61.459 -11.024
rdock_07_65 -487.552 -2.656 -51.825 -11.295
rdock_07_66 -579.483 -2.440 -65.422 -11.664
rdock_07_67 -182.243 -2.550 -0.473 -10.561
rdock_07_69 -502.513 -2.026 -56.576 -10.877
rdock_07_71 -587.919 -2.725 -56.875 -12.109
rdock_07_73 -305.030 -2.452 -5.255 -10.456
rdock_07_74 -164.685 -2.797 -2.012 -11.012
rdock_07_75 -489.408 -2.352 -47.359 -11.040
rdock_07_76 -577.881 -2.531 -55.173 -11.643
rdock_07_77 -424.524 -2.659 -34.294 -11.263
rdock_07_78 -416.942 -2.589 -40.722 -11.179
rdock_07_79 -545.836 -2.741 -52.668 -11.694
rdock_07_80 -552.722 -2.633 -66.384 -11.448
