################################################
##                   SPRank                   ##
################################################
in_rec:          3D2X-A-85-D2X/amber/rec.amber.mol2
in_cpd:          3D2X-A-85-D2X/amber/lig_charged.amber.mol2
in_poses:        3D2X-A-85-D2X/pose/pose.mol2
stats:           0
verbose:         0
Load receptor: default_name from 3D2X-A-85-D2X/amber/rec.amber.mol2
--> heavy atom num: 1652
Load compound: MOL from 3D2X-A-85-D2X/amber/lig_charged.amber.mol2
--> heavy atom num: 26
************************************************
*                PARAMETER INFO                *
************************************************
T: 25
rt_to_kcal_per_mol: 0.593
gamma_SASA: 0.0054
r_water: 1.4
pairwise_dis_upper_bound: 10
pairwise_bin_size: 0.5
pairwise_bin_num: 20
pairwise_potentials_map.size(): 348
sasa_points.size(): 8
************************************************
*                   REC INFO                   *
************************************************
name: default_name
rdock_04_37 -545.700 -3.946 -34.048 -12.843
rdock_04_38 -360.680 -3.916 -24.304 -12.393
rdock_04_39 -262.812 -4.024 -2.645 -12.726
rdock_04_40 -478.159 -4.265 -25.066 -12.779
rdock_04_41 -424.777 -3.759 -14.419 -11.582
rdock_04_42 -234.047 -3.999 -6.808 -12.613
rdock_04_43 -421.775 -3.847 -50.049 -12.320
rdock_04_44 -557.710 -3.768 -33.618 -12.227
rdock_04_45 -434.840 -4.337 -15.519 -12.727
rdock_04_46 -529.968 -4.188 -31.630 -12.916
rdock_04_47 -439.952 -4.032 -20.060 -12.795
rdock_04_48 -551.625 -4.142 -35.453 -13.010
rdock_04_49 -266.741 -4.046 8.160 -12.630
rdock_04_50 -283.152 -3.805 -1.297 -11.462
rdock_04_51 -423.908 -4.089 -12.018 -12.572
rdock_04_52 -587.661 -4.365 -33.455 -13.177
rdock_04_53 -516.285 -4.241 -30.593 -12.884
rdock_04_54 -240.674 -3.850 -1.502 -12.081
rdock_04_55 -230.216 -3.796 -0.112 -11.454
rdock_04_56 -472.517 -3.839 -26.828 -12.204
rdock_04_57 -379.101 -4.213 -23.454 -12.796
rdock_04_58 -315.900 -3.814 -26.901 -11.618
rdock_04_59 -550.952 -3.993 -42.268 -13.096
rdock_04_60 -341.847 -4.072 -26.017 -12.746
rdock_04_61 -556.306 -4.200 -37.430 -13.010
rdock_04_62 -417.842 -4.229 -31.567 -12.773
rdock_04_63 -317.528 -3.935 -35.324 -12.303
rdock_04_64 -269.014 -4.023 2.045 -12.647
rdock_04_65 -195.479 -3.736 -9.565 -11.337
rdock_04_66 -362.064 -4.058 -40.770 -12.873
rdock_04_67 -396.196 -3.984 -19.586 -12.845
rdock_04_68 -541.177 -3.977 -36.646 -12.998
rdock_04_69 -235.993 -4.153 -31.532 -12.723
rdock_04_70 -345.917 -4.278 -25.437 -12.796
rdock_04_71 -517.735 -4.209 -39.583 -12.944
rdock_04_72 -421.294 -4.161 -15.959 -12.721
rdock_04_73 -349.987 -3.972 -28.123 -12.687
rdock_04_74 -604.282 -3.765 -33.528 -12.479
rdock_04_75 -265.335 -3.875 -23.001 -12.430
rdock_04_76 -493.282 -4.061 -28.951 -12.771
rdock_04_77 -429.260 -4.226 -24.735 -12.779
rdock_04_78 -341.014 -4.058 -29.942 -12.746
rdock_04_79 -324.168 -4.167 -34.331 -12.730
rdock_04_80 -312.974 -3.756 -15.069 -11.414
rdock_04_81 -360.957 -3.570 -30.175 -11.841
rdock_04_82 -379.745 -4.328 -27.152 -12.796
rdock_04_83 -392.313 -4.440 -40.066 -12.856
rdock_04_84 -221.872 -3.889 1.621 -12.184
rdock_04_85 -300.171 -4.045 -28.129 -12.746
rdock_04_86 -365.714 -4.156 1.234 -12.652
rdock_04_87 -364.283 -4.034 -9.137 -12.645
rdock_04_88 -439.726 -4.034 -30.875 -12.795
rdock_04_89 -265.912 -3.518 8.351 -11.508
rdock_04_90 -176.585 -3.381 -12.501 -11.367
rdock_04_91 -503.979 -4.365 -34.275 -12.780
rdock_04_92 -314.436 -3.968 -2.456 -12.589
rdock_04_93 -349.125 -4.035 -8.406 -12.634
rdock_04_94 -350.224 -3.970 -31.656 -12.687
rdock_04_95 -499.874 -3.990 -34.189 -12.848
rdock_04_96 -325.450 -4.137 -15.757 -12.678
rdock_04_97 -409.879 -4.085 -10.455 -12.606
rdock_04_98 -548.275 -3.633 -33.897 -12.150
rdock_04_99 -383.845 -4.383 -20.531 -12.796
rdock_04_100 -361.740 -4.172 -28.137 -12.796
rdock_04_101 -377.451 -3.888 -38.088 -12.412
rdock_04_102 -276.894 -3.838 -21.612 -12.071
rdock_04_103 -554.293 -4.144 -39.290 -13.070
rdock_04_104 -351.323 -4.099 -27.386 -12.796
rdock_04_105 -224.856 -3.782 -2.890 -11.454
rdock_04_106 -305.250 -4.140 -24.825 -12.730
rdock_04_107 -325.553 -3.765 -33.110 -11.618
rdock_04_108 -285.774 -3.929 -11.694 -12.110
rdock_04_109 -236.609 -3.986 -8.809 -12.624
rdock_04_110 -518.322 -4.107 -28.095 -12.916
rdock_04_111 -391.238 -3.405 -17.973 -11.770
rdock_04_112 -489.233 -4.042 -27.906 -12.771
rdock_04_113 -476.460 -4.085 -33.937 -12.779
rdock_04_114 -292.696 -3.977 -14.832 -12.676
rdock_04_115 -520.052 -4.091 -49.067 -12.984
rdock_04_116 -340.329 -3.609 -28.256 -11.618
rdock_04_117 -396.211 -4.077 -36.000 -12.812
rdock_04_118 -370.508 -4.290 -21.708 -12.796
rdock_04_119 -563.271 -4.144 -39.031 -13.127
rdock_04_120 -469.371 -4.236 -40.683 -12.839
rdock_04_121 -331.648 -4.043 -2.194 -12.698
rdock_04_122 -398.565 -4.251 -13.730 -12.660
rdock_04_123 -542.087 -4.167 -30.277 -12.916
rdock_04_124 -240.482 -4.078 -14.980 -12.587
rdock_04_125 -296.276 -4.129 5.408 -12.586
rdock_04_126 -505.336 -3.873 -35.237 -12.482
rdock_04_127 -373.209 -3.942 -23.428 -12.687
rdock_04_128 -324.472 -3.840 -24.719 -12.043
rdock_04_129 -261.074 -3.602 -2.326 -11.490
rdock_04_130 -280.212 -4.156 -19.882 -12.730
rdock_04_131 -175.933 -3.885 -15.607 -12.287
rdock_04_132 -540.623 -4.203 -37.469 -12.916
rdock_04_133 -314.723 -3.930 -24.744 -12.303
rdock_04_134 -359.065 -3.612 -20.919 -11.829
rdock_04_135 -397.302 -4.275 -29.178 -12.796
rdock_04_136 -270.934 -3.978 -2.088 -12.778
rdock_04_137 -340.363 -4.145 -36.833 -12.730
rdock_04_138 -344.380 -3.996 -9.377 -12.697
rdock_04_140 -358.646 -4.382 -4.080 -12.747
rdock_04_141 -388.446 -3.953 -21.461 -12.687
rdock_04_142 -515.172 -4.155 -31.360 -12.884
rdock_04_143 -450.178 -4.166 -19.644 -12.766
rdock_04_144 -359.941 -4.161 -25.876 -12.796
rdock_04_145 -467.330 -3.495 -19.927 -11.837
rdock_04_146 -350.570 -4.139 -1.669 -12.747
rdock_04_147 -560.104 -3.978 -38.966 -13.139
rdock_04_148 -473.301 -4.109 -35.062 -12.779
rdock_04_149 -550.862 -4.032 -38.228 -13.026
rdock_04_150 -457.099 -4.260 -26.180 -12.785
rdock_05_1 -561.107 -4.032 -33.947 -13.083
rdock_05_2 -342.502 -3.894 -25.410 -12.284
