################################################
##                   SPRank                   ##
################################################
in_rec:          3D2X-A-85-D2X/amber/rec.amber.mol2
in_cpd:          3D2X-A-85-D2X/amber/lig_charged.amber.mol2
in_poses:        3D2X-A-85-D2X/pose/pose.mol2
stats:           0
verbose:         0
Load receptor: default_name from 3D2X-A-85-D2X/amber/rec.amber.mol2
--> heavy atom num: 1652
Load compound: MOL from 3D2X-A-85-D2X/amber/lig_charged.amber.mol2
--> heavy atom num: 26
************************************************
*                PARAMETER INFO                *
************************************************
T: 25
rt_to_kcal_per_mol: 0.593
gamma_SASA: 0.0054
r_water: 1.4
pairwise_dis_upper_bound: 10
pairwise_bin_size: 0.5
pairwise_bin_num: 20
pairwise_potentials_map.size(): 348
sasa_points.size(): 8
************************************************
rdock_03_12 -314.696 -4.035 -13.356
rdock_03_13 -370.366 -4.088 -9.474
rdock_03_14 -365.826 -4.147 -16.347
rdock_03_15 -563.754 -4.295 -30.232
rdock_03_16 -525.324 -4.173 -38.688
rdock_03_17 -228.747 -3.809 -7.384
rdock_03_18 -475.297 -4.097 -28.111
rdock_03_19 -470.592 -4.205 -21.659
rdock_03_20 -529.738 -4.099 -35.871
rdock_03_21 -307.411 -4.048 -24.047
rdock_03_22 -424.040 -4.113 -25.442
rdock_03_23 -557.058 -4.185 -38.161
rdock_03_24 -466.395 -4.054 -26.242
rdock_03_25 -480.412 -3.983 -28.860
rdock_03_26 -286.778 -3.878 -21.679
rdock_03_27 -208.303 -3.826 -3.630
rdock_03_28 -409.366 -4.075 -17.859
rdock_03_29 -426.307 -4.281 -22.786
rdock_03_30 -480.297 -4.049 -28.970
rdock_03_31 -384.323 -4.067 1.258
rdock_03_32 -541.332 -4.028 -34.865
rdock_03_33 -581.567 -4.329 -37.967
rdock_03_34 -464.618 -3.992 -34.688
rdock_03_35 -207.038 -4.031 -4.355
rdock_03_36 -424.335 -4.053 -17.705
rdock_03_37 -373.152 -4.098 -13.045
rdock_03_38 -516.800 -4.125 -33.224
rdock_03_39 -545.178 -3.990 -39.363
rdock_03_40 -514.937 -4.113 -46.518
rdock_03_41 -603.949 -4.123 -37.399
rdock_03_42 -416.812 -4.225 -20.440
rdock_03_43 -571.848 -4.087 -36.016
rdock_03_44 -501.813 -3.883 -29.732
rdock_03_45 -323.715 -4.296 -8.036
rdock_03_46 -406.079 -4.477 -27.509
rdock_03_47 -580.226 -4.159 -35.594
rdock_03_48 -370.969 -4.329 -11.661
rdock_03_49 -400.773 -4.043 -12.866
rdock_03_50 -436.259 -4.377 -27.551
rdock_03_51 -495.701 -4.021 -44.652
rdock_03_52 -359.797 -4.083 -16.361
rdock_03_53 -231.142 -3.919 -0.338
rdock_03_54 -383.806 -4.104 -19.232
rdock_03_55 -499.778 -4.328 -32.546
rdock_03_56 -240.917 -3.820 -6.615
rdock_03_57 -563.026 -4.136 -47.685
rdock_03_58 -521.580 -4.211 -27.546
rdock_03_59 -513.854 -3.811 -29.951
rdock_03_60 -298.043 -3.680 -24.423
rdock_03_61 -253.897 -4.074 -30.041
rdock_03_62 -450.978 -4.046 -25.401
rdock_03_63 -375.072 -4.474 -21.398
rdock_03_64 -518.343 -4.306 -27.064
rdock_03_65 -455.002 -4.361 -19.740
rdock_03_66 -244.018 -3.568 -9.033
rdock_03_67 -536.036 -4.220 -30.935
rdock_03_68 -225.539 -3.527 -10.624
rdock_03_69 -399.852 -4.186 -18.420
rdock_03_70 -495.166 -3.992 -27.853
rdock_03_71 -298.138 -4.325 2.893
rdock_03_72 -354.370 -4.091 -7.396
rdock_03_73 -543.472 -4.269 -24.866
rdock_03_74 -583.964 -4.188 -25.238
rdock_03_75 -553.911 -4.110 -43.240
rdock_03_76 -391.631 -4.248 -10.816
rdock_03_77 -253.024 -3.977 -23.384
rdock_03_78 -504.373 -3.794 -26.152
rdock_03_79 -257.620 -3.961 -9.078
rdock_03_80 -449.276 -4.219 -17.836
rdock_03_81 -420.149 -3.993 -14.270
rdock_03_82 -381.212 -3.630 -28.494
rdock_03_83 -214.534 -3.687 -22.315
rdock_03_84 -258.737 -3.997 -4.885
rdock_03_85 -267.165 -4.160 0.270
rdock_03_86 -544.867 -3.839 -36.796
rdock_03_87 -529.078 -3.876 -32.358
rdock_03_88 -385.932 -4.093 -9.558
rdock_03_89 -277.378 -4.049 -10.465
rdock_03_90 -298.011 -4.047 1.469
rdock_03_91 -389.736 -4.211 -15.186
rdock_03_92 -453.294 -4.190 -24.482
rdock_03_93 -316.023 -4.261 -16.949
rdock_03_94 -412.580 -4.196 -23.601
rdock_03_95 -205.534 -3.602 -2.833
rdock_03_96 -308.450 -3.867 1.316
rdock_03_97 -395.414 -3.915 -28.829
rdock_03_98 -420.461 -3.999 -21.551
rdock_03_99 -479.792 -4.239 -37.197
rdock_03_100 -378.629 -4.047 -26.290
rdock_03_101 -518.846 -3.964 -35.434
rdock_03_102 -247.814 -4.294 -11.664
rdock_03_103 -373.720 -4.212 -21.508
rdock_03_104 -549.025 -4.044 -36.955
rdock_03_105 -342.650 -4.085 -12.157
rdock_03_106 -512.636 -4.207 -25.874
rdock_03_107 -324.337 -3.830 -17.779
rdock_03_108 -596.266 -4.174 -43.596
rdock_03_110 -294.780 -3.710 -20.029
rdock_03_111 -357.243 -4.021 -14.564
rdock_03_112 -515.817 -4.088 -31.334
rdock_03_113 -487.639 -4.083 -45.516
rdock_03_114 -475.718 -4.105 -34.179
rdock_03_115 -483.090 -4.161 -29.440
rdock_03_116 -565.389 -3.783 -30.344
rdock_03_117 -541.919 -4.200 -37.033
rdock_03_118 -557.591 -4.127 -33.759
rdock_03_119 -358.963 -3.964 -3.690
rdock_03_120 -480.409 -3.960 -37.604
rdock_03_121 -306.908 -4.040 -2.175
rdock_03_122 -240.365 -4.016 -6.770
rdock_03_123 -299.294 -3.996 -0.263
rdock_03_124 -496.329 -3.988 -30.346
rdock_03_125 -421.952 -4.296 -18.320
rdock_03_126 -541.426 -4.157 -40.334
rdock_03_127 -504.944 -4.167 -31.785
rdock_03_128 -316.868 -4.183 -24.993
rdock_03_129 -236.557 -3.776 -10.431
rdock_03_130 -537.770 -4.264 -51.669
rdock_03_131 -389.746 -4.076 -8.247
rdock_03_132 -462.357 -4.157 -27.800
rdock_03_133 -311.667 -3.960 -25.242
rdock_03_134 -539.672 -4.172 -40.519
rdock_03_135 -594.752 -4.051 -33.264
rdock_03_136 -367.044 -3.901 -12.299
rdock_03_137 -350.608 -4.192 7.100
rdock_03_138 -308.184 -4.030 -14.129
rdock_03_139 -478.028 -4.098 -43.300
rdock_03_140 -492.140 -3.960 -33.653
rdock_03_141 -321.088 -3.934 -0.149
rdock_03_142 -313.822 -3.925 3.982
rdock_03_143 -552.624 -4.134 -31.993
rdock_03_144 -355.493 -3.933 -16.507
rdock_03_145 -288.912 -3.871 -17.832
rdock_03_146 -292.522 -3.844 -32.571
rdock_03_147 -522.164 -4.095 -40.552
rdock_03_148 -324.047 -4.012 6.511
rdock_03_149 -309.252 -3.675 -16.252
rdock_03_150 -212.711 -3.841 -17.032
rdock_04_1 -275.768 -3.485 -27.510
rdock_04_2 -324.423 -3.177 -12.156
rdock_04_3 -309.040 -3.753 -17.748
rdock_04_4 -288.319 -3.924 -26.222
rdock_04_5 -323.347 -4.105 7.288
rdock_04_6 -357.552 -4.278 -14.142
rdock_04_7 -314.874 -3.854 -2.778
rdock_04_8 -579.751 -3.906 -37.307
rdock_04_9 -310.993 -3.791 -8.242
rdock_04_10 -476.616 -3.708 -26.197
rdock_04_11 -543.207 -4.172 -27.419
rdock_04_12 -263.409 -4.080 -24.523
rdock_04_13 -555.716 -4.216 -30.495
rdock_04_14 -436.254 -4.300 -15.467
rdock_04_15 -312.052 -3.743 -28.213
rdock_04_16 -284.049 -3.964 -4.762
rdock_04_17 -543.065 -4.284 -46.988
rdock_04_18 -221.604 -3.466 -6.667
rdock_04_19 -302.684 -4.183 -9.068
rdock_04_20 -520.491 -4.398 -34.976
rdock_04_21 -263.896 -4.175 -22.975
rdock_04_22 -542.900 -3.984 -37.640
rdock_04_23 -309.541 -4.033 -22.944
rdock_04_24 -463.525 -3.864 -49.553
rdock_04_25 -467.458 -4.080 -20.683
rdock_04_26 -329.303 -3.745 -14.205
rdock_04_27 -271.241 -4.094 -19.678
rdock_04_28 -561.653 -4.173 -37.260
rdock_04_29 -480.983 -4.252 -23.556
rdock_04_30 -545.379 -4.238 -28.554
rdock_04_31 -237.588 -3.682 6.316
rdock_04_32 -420.097 -4.132 -14.153
rdock_04_33 -221.601 -4.182 -13.579
rdock_04_34 -391.059 -3.947 -33.519
rdock_04_35 -372.696 -4.019 -14.649
rdock_04_36 -316.917 -4.204 -22.302
rdock_04_37 -545.700 -3.946 -34.048
rdock_04_38 -360.680 -3.916 -24.304
rdock_04_39 -262.812 -4.024 -2.645
rdock_04_40 -478.159 -4.265 -25.066
rdock_04_41 -424.777 -3.759 -14.419
rdock_04_42 -234.047 -3.999 -6.808
rdock_04_43 -421.775 -3.847 -50.049
rdock_04_44 -557.710 -3.768 -33.618
rdock_04_45 -434.840 -4.337 -15.519
rdock_04_46 -529.968 -4.188 -31.630
rdock_04_47 -439.952 -4.032 -20.060
rdock_04_48 -551.625 -4.142 -35.453
rdock_04_49 -266.741 -4.046 8.160
rdock_04_50 -283.152 -3.805 -1.297
rdock_04_51 -423.908 -4.089 -12.018
rdock_04_52 -587.661 -4.365 -33.455
rdock_04_53 -516.285 -4.241 -30.593
rdock_04_54 -240.674 -3.850 -1.502
rdock_04_55 -230.216 -3.796 -0.112
rdock_04_56 -472.517 -3.839 -26.828
rdock_04_57 -379.101 -4.213 -23.454
rdock_04_58 -315.900 -3.814 -26.901
rdock_04_59 -550.952 -3.993 -42.268
rdock_04_60 -341.847 -4.072 -26.017
rdock_04_61 -556.306 -4.200 -37.430
rdock_04_62 -417.842 -4.229 -31.567
rdock_04_63 -317.528 -3.935 -35.324
rdock_04_64 -269.014 -4.023 2.045
rdock_04_65 -195.479 -3.736 -9.565
rdock_04_66 -362.064 -4.058 -40.770
rdock_04_67 -396.196 -3.984 -19.586
rdock_04_68 -541.177 -3.977 -36.646
rdock_04_69 -235.993 -4.153 -31.532
rdock_04_70 -345.917 -4.278 -25.437
rdock_04_71 -517.735 -4.209 -39.583
rdock_04_72 -421.294 -4.161 -15.959
rdock_04_73 -349.987 -3.972 -28.123
rdock_04_74 -604.282 -3.765 -33.528
rdock_04_75 -265.335 -3.875 -23.001
rdock_04_76 -493.282 -4.061 -28.951
rdock_04_77 -429.260 -4.226 -24.735
rdock_04_78 -341.014 -4.058 -29.942
rdock_04_79 -324.168 -4.167 -34.331
rdock_04_80 -312.974 -3.756 -15.069
rdock_04_81 -360.957 -3.570 -30.175
rdock_04_82 -379.745 -4.328 -27.152
rdock_04_83 -392.313 -4.440 -40.066
rdock_04_84 -221.872 -3.889 1.621
rdock_04_85 -300.171 -4.045 -28.129
rdock_04_86 -365.714 -4.156 1.234
rdock_04_87 -364.283 -4.034 -9.137
rdock_04_88 -439.726 -4.034 -30.875
rdock_04_89 -265.912 -3.518 8.351
rdock_04_90 -176.585 -3.381 -12.501
rdock_04_91 -503.979 -4.365 -34.275
rdock_04_92 -314.436 -3.968 -2.456
rdock_04_93 -349.125 -4.035 -8.406
rdock_04_94 -350.224 -3.970 -31.656
rdock_04_95 -499.874 -3.990 -34.189
rdock_04_96 -325.450 -4.137 -15.757
rdock_04_97 -409.879 -4.085 -10.455
